timestep,1,2,3
1,17,2130,5733
2,18,1099,3427
3,11,1268,5342
4,30,1410,4253
5,8,1874,4921
6,5,480,3843
7,102,1101,4845
8,67,1098,3292
9,248,530,4218
10,18,954,5755
11,131,565,3600
12,16,490,1541
13,291,518,3719
14,43,374,1605
15,147,471,3021
16,128,402,2445
17,99,712,2574
18,52,337,1587
19,80,665,2761
20,260,640,3391
21,100,541,2896
22,158,1605,4131
23,53,1134,2978
24,137,989,3466
25,118,476,1720
26,96,421,2006
27,24,182,883
28,85,199,1369
29,329,845,3101
30,83,441,1959
31,106,604,2106
32,342,981,3202
33,23,418,2710
34,37,478,1971
35,182,1159,4166
36,33,1675,4685
37,40,458,2808
38,111,645,2135
39,81,1102,1577
40,112,1099,3270
41,116,1016,4210
42,239,1915,4986
43,24,1346,3693
44,24,1567,3384
45,5,1216,4377
46,2,710,2807
47,22,824,4275
48,36,435,2483
49,56,420,1978
